hotel_Name,booking,hotel_ebooking
Prominent Corporate Residency,"₹ 3,800","₹ 3,999"
"Gift City Club, a member of Radisson Individuals","₹ 5,130","₹ 5,129"
"Siara Styles Amba Suites, Gandhinagar","₹ 2,999","₹ 9,999"
Grand Mercure Gandhinagar GIFT City - An Accor Hotels Brand,"₹ 4,049","₹ 13,500"
Hotel Shiv Inn,"₹ 1,349","₹ 1,424"
Hotel Vivan,"₹ 1,999","₹ 1,499"
Collection O Ashooka Inn,₹ 854,"₹ 1,341"
HOTEL KINGDOM,"₹ 1,350","₹ 1,350"
Hotel Green Park,"₹ 1,791","₹ 2,559"
"Fortune Inn Haveli, Gandhinagar - Member ITC's Hotel Group","₹ 9,000","₹ 8,100"
The Leela Gandhinagar,"₹ 11,000","₹ 11,000"
Hotel Krishna,"₹ 1,199","₹ 1,199"
FabHotel Siddharth Corporate,"₹ 2,079","₹ 2,195"
Hotel City Inn,"₹ 3,200","₹ 3,200"
FabHotel Prime Blue Moon,"₹ 13,860","₹ 3,237"
OYO Flagship Hotel Poonam,"₹ 1,112","₹ 1,112"
Taj Gandhinagar Resort and Spa,"₹ 8,500","₹ 11,000"
OYO Hotel Siddharth Inn,"₹ 2,105","₹ 2,105"
Hotel German Palace Near to Airport,"₹ 4,320","₹ 2,700"
Hotel Prime,"₹ 2,399","₹ 2,399"
Hotel Asopalav,"₹ 1,350","₹ 1,350"
"Cambay Sapphire, Gandhinagar","₹ 4,055","₹ 2,525"
